run,messages,batch_size,plugin_config,name,avg_byte_throughput,max_arena_size,max_in_use_size,max_mmap_size,close_time
2,medium,small,sqlite_default,run=2;messages=medium;batch_size=small;plugin_config=sqlite_default,199791914.71889222,2162688,2166928,0,0.000267807
2,medium,small,sqlite_resilient,run=2;messages=medium;batch_size=small;plugin_config=sqlite_resilient,144932454.26831353,2031616,2161584,0,0.006536571
2,medium,default,mcap_default,run=2;messages=medium;batch_size=default;plugin_config=mcap_default,114897735.57547092,159744,148112,3727360,0.000948799
2,medium,default,mcap_uncompressed,run=2;messages=medium;batch_size=default;plugin_config=mcap_uncompressed,111323339.96243803,274432,149120,1286144,0.001044484
2,medium,default,mcap_nocrc,run=2;messages=medium;batch_size=default;plugin_config=mcap_nocrc,1072821557.5995059,409600,149712,1286144,0.00095369
2,medium,default,mcap_nochunking,run=2;messages=medium;batch_size=default;plugin_config=mcap_nochunking,1143197140.2601545,0,28848,0,0.000291965
2,medium,default,sqlite_default,run=2;messages=medium;batch_size=default;plugin_config=sqlite_default,689844520.7209929,2207744,2167520,0,0.000246528
2,medium,default,sqlite_resilient,run=2;messages=medium;batch_size=default;plugin_config=sqlite_resilient,108573390.75995617,2220032,2161648,0,0.004622086
2,small,small,mcap_default,run=2;messages=small;batch_size=small;plugin_config=mcap_default,27928188.236434642,5586944,4015008,0,0.001181124
2,small,small,mcap_uncompressed,run=2;messages=small;batch_size=small;plugin_config=mcap_uncompressed,27897616.114669006,2158592,1367664,0,0.001210589
2,small,small,mcap_nocrc,run=2;messages=small;batch_size=small;plugin_config=mcap_nocrc,40946301.97938218,2162688,1368048,0,0.001396046
2,small,small,mcap_nochunking,run=2;messages=small;batch_size=small;plugin_config=mcap_nochunking,174519297.39476797,0,29168,0,0.000294123
2,small,small,sqlite_default,run=2;messages=small;batch_size=small;plugin_config=sqlite_default,17196561.3845971,2199552,2166704,0,0.000202799
2,small,small,sqlite_resilient,run=2;messages=small;batch_size=small;plugin_config=sqlite_resilient,17442363.30148896,2187264,2161200,0,0.008117713
2,small,default,mcap_default,run=2;messages=small;batch_size=default;plugin_config=mcap_default,27137043.080415774,5566464,4012704,0,0.001136601
2,small,default,mcap_uncompressed,run=2;messages=small;batch_size=default;plugin_config=mcap_uncompressed,26544789.522453234,2162688,1365312,0,0.001208605
2,small,default,mcap_nocrc,run=2;messages=small;batch_size=default;plugin_config=mcap_nocrc,38093336.454132415,2162688,1365552,0,0.001231742
